obj_id,B,I,R,V,total
140711004401055,473,188,409,485,1555
230102001601081,424,178,293,331,1226
210719001601138,505,144,152,413,1214
160916003801156,411,172,277,248,1108
150109001001255,345,209,197,266,1017
180129002601127,91,190,305,359,945
161228001501325,358,108,237,218,921
161007004201291,294,199,161,228,882
161228001501233,299,90,304,177,870
151111003601084,171,165,222,312,870
150109001001248,317,195,140,206,858
151109003101237,301,110,57,338,806
230102001601256,258,111,130,228,727
210719001601153,361,124,68,171,724
150109001001046,206,132,155,171,664
200904001101214,395,17,58,152,622
170108002201009,174,317,6,122,619
151111003601247,111,62,165,279,617
140308000101097,341,22,52,198,613
160916003801135,379,15,10,205,609
230102001601258,317,51,67,161,596
230102001601227,274,101,103,96,574
170128002601252,458,7,3,102,570
170127001601248,337,33,32,162,564
160111002101284,431,16,34,63,544
151110003101127,286,12,38,190,526
230102001601078,269,51,60,140,520
230102001601074,266,61,39,106,472
161007004201248,251,54,28,137,470
211221001601305,204,133,44,81,462
210706004701260,234,44,25,146,449
151220003401321,224,62,29,133,448
160111001601042,252,29,51,88,420
170906005601337,343,11,57,1,412
150427002301238,181,75,33,83,372
151226002701170,177,63,42,84,366
160517000101089,177,60,59,63,359
161006005901320,227,18,6,79,330
221110003101123,250,12,10,52,324
161229001601279,200,41,18,50,309
150109001001071,176,32,25,75,308
150427001801095,192,30,9,63,294
140409002501196,174,17,7,87,285
170723005101029,217,2,5,51,275
161007004201017,54,115,50,49,268
181225001601130,196,0,13,44,253
161216001801123,179,26,8,39,252
191106002301072,228,3,2,14,247
160106002101128,140,36,23,43,242
160107003101364,81,21,106,27,235
170108002201320,41,56,19,118,234
170103001801326,152,18,12,29,211
211215003201389,72,64,17,56,209
131217002301373,189,0,0,19,208
181226002601187,154,0,4,50,208
170119002601297,181,8,0,14,203
160107003101332,101,25,36,26,188
151109003101353,158,16,0,9,183
150831006001203,101,39,6,37,183
151009003101130,101,22,23,34,180
171228002701187,120,40,2,17,179
150427001801194,122,24,10,18,174
210706004701022,118,13,7,33,171
170906005601012,119,10,36,1,166
151111003601020,74,11,1,77,163
150427002301273,79,40,12,29,160
160109002001315,102,26,2,29,159
150830006101213,52,58,26,22,158
150410002301208,30,66,5,54,155
161118002501058,133,2,2,15,152
150413002601239,111,27,1,11,150
151226002701317,79,28,7,36,150
160111001601149,47,47,6,47,147
201207003001230,96,32,0,12,140
150427002301115,79,32,6,19,136
160110001601329,89,21,5,21,136
181223001601128,86,0,11,38,135
170910004101382,108,10,0,17,135
131217002301304,121,5,0,9,135
230801004501217,68,28,2,37,135
201207002101037,97,20,2,15,134
170530001601029,77,17,1,30,125
151220003401035,67,27,8,23,125
230801004501136,97,18,1,8,124
160106002101111,68,27,6,21,122
170906005601366,121,1,0,0,122
201207002101149,56,36,0,29,121
201207002101373,78,28,0,14,120
210706004701215,92,22,0,5,119
191107003101087,115,1,0,1,117
160923004701280,103,8,0,5,116
160923003701253,112,2,0,0,114
171027001601281,94,16,0,4,114
160923003101343,83,22,0,8,113
161228002001268,102,4,0,0,106
151109003101309,93,9,0,3,105
161007004201103,68,12,2,19,101
160111001601366,67,22,0,12,101
170103001801245,81,16,0,3,100
150109001001277,45,31,3,21,100
161006005901387,59,27,1,12,99
171102003901127,69,12,1,17,99
170906005601326,86,1,0,0,87
191107003601266,73,12,0,1,86
161118003501332,25,32,12,15,84
170909003801321,52,16,2,13,83
140308000101193,71,11,0,1,83
150830005601130,46,26,0,10,82
200904001101065,73,8,0,0,81
221110003101124,41,21,6,11,79
150409006101122,33,32,2,10,77
171205002101373,53,13,0,9,75
150109001001301,65,4,0,3,72
151109003101341,56,13,0,3,72
161118002501129,47,19,0,3,69
160106002101358,38,25,0,2,65
151219001601177,25,28,1,10,64
150828005201054,60,2,0,1,63
171227002101088,12,7,42,1,62
160916003801115,37,17,3,5,62
161210002601248,43,15,0,2,60
151009005101251,54,6,0,0,60
150413003601054,47,12,0,0,59
140308000101159,47,4,0,1,52
151008004001328,33,15,4,0,52
170905004001138,42,4,0,5,51
160108002001229,30,20,1,0,51
170119003101260,47,3,0,0,50
170909003201007,29,7,3,10,49
160109002001384,29,11,1,7,48
160815004801229,11,33,1,3,48
170128002601122,43,3,0,2,48
150827004601393,20,18,1,7,46
160110001601352,45,1,0,0,46
170904001401212,41,0,1,2,44
141104003801337,23,16,0,3,42
160109002001015,35,2,1,3,41
160113001601342,28,12,0,1,41
161119003601282,3,8,0,30,41
170904001401178,36,0,0,4,40
141104003301239,33,5,1,1,40
151009004101389,27,10,0,3,40
140810005901103,34,5,0,0,39
210706004701045,30,4,0,5,39
151111003101380,8,26,0,5,39
160111001601368,25,12,0,1,38
160109002001297,19,15,4,0,38
151111003101322,28,9,0,1,38
150827005201040,19,14,1,4,38
150410002301033,21,15,0,2,38
170909003801053,30,3,0,4,37
150413002601188,10,21,2,4,37
211114000401003,30,4,0,1,35
161229002201127,21,11,0,3,35
170103001801128,24,5,0,5,34
160923004701186,28,3,0,3,34
201003005001130,31,2,0,1,34
141104003301002,30,3,0,1,34
141101003001328,7,21,0,6,34
170713006101122,23,9,0,1,33
170103001801066,26,5,0,1,32
181222002101109,31,0,0,1,32
161107002101346,23,8,0,1,32
151110003101327,20,11,0,1,32
211221001601149,17,14,0,1,32
170906005101057,10,19,0,2,31
181225003101384,30,0,0,0,30
170723005101026,18,5,0,7,30
170128002601077,25,3,0,1,29
191107002601049,29,0,0,0,29
150828005201370,15,9,0,5,29
161006005901054,13,13,0,3,29
210730003901240,19,10,0,0,29
140813004601366,9,16,0,3,28
170723005101165,18,6,0,4,28
141103003601014,2,23,0,3,28
160111001601056,25,1,0,2,28
221104002101340,0,28,0,0,28
161009005901153,13,13,0,2,28
150408004101288,21,5,0,1,27
140807006201014,20,3,1,3,27
161109004401367,7,13,0,7,27
150902002901078,12,14,0,1,27
150828005201155,1,23,0,2,26
150412003101185,6,19,0,1,26
151008004001214,25,1,0,0,26
171031002801192,14,11,0,1,26
150828005201293,8,17,0,0,25
170723005101090,10,10,1,4,25
151219001601236,7,17,0,1,25
170723005101083,12,10,0,3,25
161119003601075,14,8,1,2,25
161012003201234,16,5,0,4,25
170108001601286,10,11,2,1,24
181224001601327,23,0,0,1,24
160107001601379,15,8,0,1,24
151009003601329,6,12,1,5,24
151110003101011,15,4,0,5,24
160124002601339,7,12,2,3,24
170103001801196,5,17,0,1,23
170108001601380,2,15,5,1,23
160109002001009,19,3,0,1,23
160107002601264,8,14,0,1,23
160111001601069,17,5,0,1,23
170127001601393,12,9,0,2,23
160107001601313,4,17,0,1,22
171102002701399,6,15,0,1,22
160107002601049,8,14,0,0,22
150831006001369,15,7,0,0,22
161105004101195,11,8,1,2,22
161116002801392,4,15,0,2,21
150828005701301,10,9,0,2,21
141102003201149,14,5,0,2,21
150412003101117,17,3,0,1,21
181220001601037,20,0,1,0,21
161119003601270,2,3,0,15,20
170909003801254,9,9,0,2,20
141104004301161,6,12,0,2,20
150829005701255,3,12,0,5,20
161009005301251,7,11,0,2,20
160110001601030,11,5,2,2,20
210706004701296,2,17,0,1,20
200519001901243,5,14,0,1,20
170202000201147,2,17,0,0,19
210706004701299,2,17,0,0,19
170106002601292,18,1,0,0,19
171027001601391,8,9,0,2,19
160111002101186,1,17,0,0,18
150427002301053,12,4,0,2,18
150704002301134,6,12,0,0,18
170103001801015,8,10,0,0,18
161008004001279,10,7,0,1,18
221003001101220,3,15,0,0,18
161119003601088,6,11,0,1,18
141102003201059,10,7,0,0,17
140814006001161,6,11,0,0,17
161006005401270,11,6,0,0,17
181222002101167,16,0,0,1,17
141202003701298,3,12,0,2,17
171230001601207,9,8,0,0,17
151109002601152,4,13,0,0,17
140308000101105,7,8,0,1,16
150411003101288,10,3,0,3,16
161120002401009,6,10,0,0,16
141102003201020,12,4,0,0,16
160402005101316,3,11,0,2,16
210925003001361,2,14,0,0,16
161009005301381,5,11,0,0,16
170806005801129,9,5,0,2,16
170713006101273,3,6,5,2,16
150413003601037,2,13,0,1,16
170117002101243,4,9,0,2,15
161116003301385,2,11,0,2,15
161009004301276,9,6,0,0,15
161007003801285,8,6,1,0,15
140711004401142,6,8,0,1,15
170103001801390,6,8,0,1,15
141102003201175,4,9,0,2,15
170713005601370,4,11,0,0,15
150412003601082,4,9,0,2,15
171230004101056,2,13,0,0,15
200926004101319,3,12,0,0,15
160815004801159,3,9,1,1,14
151110003101271,2,12,0,0,14
161211002601129,8,6,0,0,14
150829005701213,5,9,0,0,14
140811005001122,3,10,0,1,14
151009003601205,1,11,0,2,14
171228003201087,3,11,0,0,14
171003004601339,13,0,0,1,14
170910004101346,11,3,0,0,14
160923003101158,11,1,0,2,14
191107002101063,14,0,0,0,14
210919003601371,6,8,0,0,14
160107002101362,3,10,0,1,14
161109004401251,1,11,0,2,14
150706005901322,4,8,0,2,14
